X,Y,OBJECTID,WARD,LOCATION,COUNT_,INSTALLYEAR,X,Y
-77.008892245980164,38.823609088997571,30,8,Unit Blk Galveston Pl SW (2),2,FY-08,399228.02425324,128424.52830861
-77.022644178312262,38.93541133673633,31,1,700 Blk Princeton PL NW,3,FY-08,398036.93010813,140835.63465613
-77.009903119511463,38.966426453860699,32,4,Unit Blk Sheridan St. NW,3,FY-08,399141.96348516,144278.39638732
-77.0084026642038,38.914831862038135,33,5,Unit BLK Seaton Place NW (3) 12FT,3,FY-08,399271.47023728,138550.92793401
-77.012947735964076,38.915770674348813,34,5,Unit Blk T Street NW (12),3,FY-08,398877.31,138655.19
-76.995474194009603,38.951610392366128,35,5,Farragut Pl. Betw. 6th St & S. Dakota Ave,3,FY-08,400392.49999832,142633.6400018
-76.994912972023528,38.951178963072707,36,5,Farraday Pl btw 6th St & S. Dakota Ave NE,3,FY-08,400441.15001436,142585.75001775
-76.978996820966444,38.887226927124978,37,6,200 Blk 18th Street SE ,3,FY-08,401822.42083164,135486.73490716
-76.921818981433788,38.899680015970539,38,7,55th ST Bet James PL & Eastern AV NE (3),3,FY-08,406781.94998825,136871.81999645
-76.931799477604685,38.88546786894139,39,7,4900 Blk C St SE (3),3,FY-08,405917.37840344,135293.46652298
-76.929020814953375,38.878464477064824,40,7,5100 Blk H St SE (3),3,FY-08,406159.06374767,134516.22047426
-76.925093436987311,38.899899082764549,41,7,Hayes St. NE between 50th Pl. & Division Ave,3,FY-08,406497.88998798,136895.89999647
-76.970086447718771,38.848165460261932,42,8,3400 Blk 24th ST Se (3),3,FY-08,402596.90000036,131150.84002314
-76.99636976447519,38.856634911783949,43,8,2900 Blk Pomeroy Rd SE (3),3,FY-08,400315.29,132090.59
-76.999875006711989,38.844685144709572,44,8,300 Blk Parkland Pl.,3,FY-08,400011.04873396,130764.07531878
-77.009716644679912,38.824394485703657,45,8,Unit Blk Galveston Pl SW,3,FY-08,399156.44543717,128511.71982869
-77.031554096917134,38.967571985530157,46,4,1300 Blk Tuckerman St. NW (4),4,FY-08,397265.66729142,144405.98723544
-76.934248213364455,38.895753989187668,47,5,500 Blk 48th St NE (4),4,FY-08,405704.1,136435.15
-76.994958620730628,38.950052390162227,48,5,Emerson St NE btw 6th St. & 8th St.,4,FY-08,400437.19999836,142460.69001763
-76.952892159558402,38.860331988427617,49,7,3600 & 3700 Blk Camden St SE (4),4,FY-08,404088.78544175,132502.04066439
-77.044875433930059,38.912612648293901,50,7,20th & R Street SE  (12),4,FY-08,396108.21874634,138305.49999778
-76.94630532830557,38.887137696506308,51,7,4300 C Street SE ,4,FY-08,404658.72,135477.99
-76.974570734646733,38.874138251790789,52,7,2100- 2300 Nicholson Place SE,4,FY-08,402206.83,134033.89
-76.960282219908223,38.871653622400082,53,7,3200 O St. SE,4,FY-08,403446.84,133758.52
-77.003508862848861,38.842948619302163,54,8,3300 Blk Brothers Pl SE (4),4,FY-08,399695.58226967,130571.3148066
-76.970232517511548,38.900645496907373,55,5,"26th Street Bet. Benning Road & i (Eye) Street, NE (22"")",5,FY-08,402582.32060835,136976.51318055
-76.964814336890797,38.930719346556216,56,6,3000 Blk Clinton St. NE,5,FY-08,403051.02352078,140315.12735964
-77.013801983043493,38.907090498763509,57,6,Unit - 200 Blk N St. NW,6,FY-08,398803.08,137691.63
-76.985311362799081,38.883032552755544,58,6,1200-1400 Blk E Street SE  (12),6,FY-08,401274.65,135021.02
-77.070224610904432,38.958833838054773,59,3,3700 Jenifer St. NW ,1,FY-09,393913.67,143437.84
-77.070887441465828,38.92657181854625,60,3,"2800 Block of 36th Street, NW",1,FY-09,393853.43986425,139856.51497522
-77.071449151690587,38.926190471289864,61,3,3600 Block of Fulton St. between 36th St and 36th Pl,1,FY-09,393804.6999922,139814.22019118
-77.072600618182562,38.926188975086248,62,3,3600 Block of Fulton St. between 36th Pl and Wis Ave.,1,FY-09,393704.85394411,139814.13286318
-77.070887441465828,38.92657181854625,63,3,"2800 Block of 36th Street, NW",1,FY-09,393853.43986425,139856.51497522
-77.069242406816329,38.926189546425476,64,3,"3500 Block of Fulton Street, NW",1,FY-09,393996.05112838,139813.97004718
-77.080693165467608,38.956830669778128,65,3,4100 Harrison Street  NW,1,FY-09,393006.14,143216.22
-77.021305802743726,38.967122473205933,66,4,600 Tuckerman St. NW,1,FY-09,398153.79,144355.83
-77.007006860947939,38.967346167678244,67,4,100 Tuckerman Street NE,1,FY-09,399392.97001339,144380.47001942
-77.006012080708302,38.957829633359999,68,4,5600  Blk. Of  1 st  Street  NE,1,FY-09,399479.11,143324.04
-77.035051399962242,38.968858022121694,69,4,1400-1500 Blk. Underwood Street,1,FY-09,396962.64,144548.86
-77.028636745756415,38.952912239869342,70,4,1200 Blk. Hamilton Street  NW,1,FY-09,397517.97932365,142778.53657793
-77.032062959783474,38.971459829144699,71,4,6700 Luzon Ave. NW,1,FY-09,397221.72,144837.59
-76.983874798284603,38.920917549470033,72,5,14TH Street NE bet. Adams & Downing Place,1,FY-09,401398.55001525,139226.57999863
-77.001308023797577,38.919181909675558,73,5,300 blk. Of W Street  NE,1,FY-09,399886.76559785,139033.78675045
-76.992439999267276,38.929004512089378,74,5,3100 10th St NE bet.Irving and Jackson street,1,FY-09,400655.71503856,140124.20527947
-76.984359947249715,38.931890015577032,75,5,Lawrence Street NE bet. 14th and 15th Street,1,FY-09,401356.27001521,140444.61001576
-76.984359947249715,38.931890015577032,76,5,Lawrence Street NE bet. 14th and 15th Street,1,FY-09,401356.27001521,140444.61001576
-76.984359947249715,38.931890015577032,77,5,Lawrence Street NE  bet. 14th & 15th Street,1,FY-09,401356.27001521,140444.61001576
-76.992439999267276,38.929004512089378,78,5,10th Street NE bet. Irving & Jackson St (3100 Blk),1,FY-09,400655.71503856,140124.20527947
-76.980800317986606,38.857264069822513,79,7,Morris Rd./ SE 17th Street to Bruce PL. SE,1,FY-09,401666.6500155,132160.60002408
-76.915725369284999,38.892904288142525,80,7,5900 Blk. Of Clay Place NE,1,FY-09,407311.22989274,136120.13116375
-76.953595149093076,38.86208240306884,81,7,"3700 Block of Bangor Street, SE",1,FY-09,404027.67273769,132696.31810457
-76.912298464889332,38.892438912395434,82,7,200 Blk. Of 62th Street  NE,1,FY-09,407608.57181301,136068.7508757
-76.988507642358215,38.839837625535758,83,8,Mississippi Ave from Wheeler Rd to 13th St SE,1,FY-09,400997.93001488,130226.03000628
-76.980800317986606,38.857264069822513,84,8,Morris Rd./ SE 17th Street to Bruce PL. SE,1,FY-09,401666.6500155,132160.60002408
-76.985193136156866,38.857362721173899,85,8,Morris Rd./Erie St. SE form Pomeroy to Bruce PL. SE,1,FY-09,401285.37001515,132171.48002409
-76.985193136156866,38.857362721173899,86,8,Morris Rd./Erie St. SE from Pomeroy to Bruce PL. SE,1,FY-09,401285.37001515,132171.48002409
-77.010645264062802,38.826061189566985,87,8,100 Blk Elmira St. SW,1,FY-09,399075.8295971,128696.74395686
-77.010646731373328,38.82700525247094,88,8,Unit Blk. Of Darrington Street SW,1,FY-09,399075.7144611,128801.54117296
-76.997483137337909,38.83798920195116,89,8,Mississippi Ave from 6th St to 7th St SE,1,FY-09,400218.71007816,130020.78255009
-77.018939728441225,38.907244992629273,90,2,1300 5th St NW,2,FY-09,398357.46009243,137708.86002922
-77.087547649901339,38.934563702767072,91,3,4400 blk Newark St. NW,2,FY-09,392409.65903091,140744.93625604
-77.068635753887818,38.925764081009341,92,3,"2700 Block of 35th Street, NW",2,FY-09,394048.61970443,139766.70006313
-77.017783441289566,38.960386961389034,93,4,5800 4th St NW,2,FY-09,398458.9,143608.06
-77.002565343589779,38.963961410108311,94,4,300-400 Blk. Of  Quackenbos Street  NE,2,FY-09,399777.87,144004.71
-77.025983102942391,38.957160919556898,95,4,900 Longfellow Street,2,FY-09,397748.13,143250.11
-77.024511374267135,38.933976436217861,96,4,800 Otis Place    NW,2,FY-09,397875,140676.39
-77.016751609800011,38.952176927889326,97,4,300 Blk. Of Gallatin  Street  NW,2,FY-09,398548.16201261,142696.65411385
-77.020476398718756,38.955557461539534,98,4,500-600 Jefferson Street  NW,2,FY-09,398225.38,143071.99
-77.013886851412593,38.955705985438691,99,4,200 Jefferson Street  NW,2,FY-09,398796.54,143088.37
-77.022448995348782,38.961320945480971,100,4,Oglethorpe Street,2,FY-09,398054.55999615,143711.8300188
-77.035167067451866,38.989933251406242,101,4,1500 Blk. Of Roxanna Street ,2,FY-09,396953.51756313,146888.41811774
-77.011800124554654,38.958537692160689,102,4,Unit blk. Of Madison  NW,2,FY-09,398977.45,143402.69
-76.973172086131385,38.914084578030334,103,5,2200 blk S St.  Bewteen 22nd & 24th St NE,2,FY-09,402326.89504011,138468.28150193
-76.989686028463908,38.930630493113277,104,5,1200-1300 blk. Kearney Street NE BET. 12th # 13th ,2,FY-09,400894.48758278,140304.72652763
-77.005732182382118,38.926311622924317,105,5,"Girard st., N.E. Bet. North Capitol st. and Franklin st.",2,FY-09,399503.15001349,139825.25999919
-77.014875109087441,38.920236775322863,106,5,100 Blk Adams St btw 1st & 2nd St  NW ,2,FY-09,398710.23999676,139150.99001456
-76.991354274289492,38.92352019539576,107,5,1000 Douglas street NE bet. 10th and 12th street,2,FY-09,400749.91439865,139515.4077109
-77.053517590253719,38.918182377250133,108,5,2400 Kalarama road NW,2,FY-09,395359.06,138924.19
-77.049817273156222,38.917722246313907,109,5,2200 Kalarama road NW,2,FY-09,395679.93,138872.93
-76.989686028463908,38.930630493113277,110,5,1200-1300 blk. Kearney Street NE BET. 12TH # 13th ,2,FY-09,400894.48758278,140304.72652763
-76.98264203381845,38.931975261935499,111,5,Lawrence Street NE  bet. 15th and 16th Street,2,FY-09,401505.21999935,140454.09999977
-76.986288572756848,38.931793778737635,112,5,Lawrence Street NE bet. 13th and 14th Street,2,FY-09,401189.05001506,140433.89999975
-76.99243849516894,38.928512881069594,113,5,10th Street NE bet. Girard & Irving St (2900-3000 Blk),2,FY-09,400655.85001456,140069.63001542
-76.917429858805377,38.888338354645519,114,7,100 Blk 58th St SE  ,2,FY-09,407163.8196846,135613.14201128
-76.93438628765395,38.891896819081431,115,7,"4700 Blk Blaine St NE,",2,FY-09,405692.42995524,136006.96527565
-76.919150090063596,38.895232242759285,116,7,"400 Blk 57th St  NE,  ",2,FY-09,407013.89814846,136378.28370799
-76.927010968235905,38.890784253865782,117,7,5200 Blk Ames St NE ,2,FY-09,406332.36473983,135883.94757953
-76.923825514539729,38.883214748861953,118,7,5400 D St. SE,2,FY-09,406609.42,135043.9
-76.946557087316648,38.865555939633751,119,7,1700 40th street SE,2,FY-09,404638.28,133082.24
-76.922516096547099,38.892075286073677,120,7,200 blk. of 55th Street NE ,2,FY-09,406722.19581219,136027.58354766
-77.006672584220723,38.826920255793844,121,8,4300 blk. Of  Halley Terr.   SE,3,FY-09,399420.79929342,128792.07323695
-76.986887921643188,38.911303511609873,122,5,"1800,1900 & 2000 Capitol Ave NE",4,FY-09,401137.41,138159.3
-76.975880723774864,38.848745323140179,123,5,1900-2100 Savannah Terr. Se,4,FY-09,402093.9,131215.06
-76.992412377556661,38.947445346988694,124,5,"Unit Blk of Crittenden and Unit Blk of Buchanan, NE",4,FY-09,400657.94,142171.3
-76.92352477356701,38.888103560669407,125,7,Unit blk 54th St. SE,4,FY-09,406635.05891611,135586.61743526
-76.92464715607197,38.891955665605316,126,7,5300 & 5400 Blk Blaine St NE,4,FY-09,406537.33,136014.15
-76.921991244808211,38.887210199217165,127,7,Unit  55th St. SE,4,FY-09,406768.19,135487.56
-76.942231144576922,38.880361805199414,128,7,700-800 hilltop terrace SE,4,FY-09,405012.67,134726.03
-76.962733386356945,38.873020104455343,129,7,"3000 -3100 blocks of O Street, SE",4,FY-09,403234.07,133910.12
-76.942231144576922,38.880361805199414,130,7,700-800 Hilltop terrace SE,4,FY-09,405012.67,134726.03
-76.962261273255947,38.871241693709074,131,7,"3100 & 3000 blocks of Q Street, SE  ",3,FY-09,403275.12,133712.72
-76.964425242983367,38.876403466781127,132,7,"3000 - 3100 blocks of M Street, SE",3,FY-09,403087.11,134285.64
-76.924493591937207,38.890780643781618,133,7,"5300 Blk. of Ames Street, NE",3,FY-09,406550.76013203,135883.72441153
-76.930151985839274,38.900388037662495,134,7,5000-5100 blk. Of  Hayes Street  NE,3,FY-09,406059.05,136949.83
-76.924493591937207,38.890780643781618,135,7,"5300 Blk. of Ames Street, NE",3,FY-09,406550.76013203,135883.72441153
-76.960634149186674,38.882845857459891,136,7,3200 blk. Of  E Street  SE,3,FY-09,403415.76444912,135000.92924271
-76.962528717689452,38.876268878276541,137,7,3100 Blk M Place SE,3,FY-09,403251.68246497,134270.76553003
-76.937547892166563,38.903846887661459,138,7,1000 Blk 45Th St NE,3,FY-09,405417.24163498,137333.32518088
-76.933886949250351,38.876713393424744,139,7,4600 Hillside Terr. SE,3,FY-09,405736.97,134321.52
-76.937106644935454,38.905508790401839,140,7,1100 Blk 45 Place St NE,3,FY-09,405455.38793902,137517.83609305
-76.99969008245435,38.823929784123031,141,8,6th St from Atlantic to Galveston St SE,3,FY-09,400027.11001398,128460.09000464
-76.992024649134635,38.839219488473553,142,8,900-1200 Blk Mississippi Ave SE,4,FY-09,400692.6,130157.38
-77.001855601219319,38.844179798415688,143,8,300 Raleigh Street SE,4,FY-09,399839.11,130707.98
-77.06673475902889,38.934393523751893,144,3,3400-3600 Newark Street  NW,5,FY-09,394214.16,140724.52
-76.953446901998149,38.868986131842426,145,7,3500 Blk texas Ave SE ,5,FY-09,404040.1482897,133462.68904928
-76.951373490240982,38.870038018052732,146,7,1600 - 1700 38th street SE,5,FY-09,404220.02000187,133579.55000939
-76.95911718015094,38.873311779680108,147,8,3200 block Pope Street SE,5,FY-09,403547.85772925,133942.63240973
-77.000573172422534,38.830089505150696,148,8,Brandywine Street SE,5,FY-09,399950.43001391,129143.86002128
-76.988397989896015,38.953245806602297,149,5,1100 Blk Galloway St NE btw S. Dakota & Sargeant Rd,6,FY-09,401005.85001489,142815.24000196
-76.956356445807586,38.870561303197626,150,7,3300-3700- Carpenter st SE,6,FY-09,403787.57,133637.42
-76.943953259770112,38.868711267007029,151,8,1600-4200 Blks Fort Dupont St SE,7,FY-09,404864.04000247,133432.63999326
-76.943099619561849,38.906730367895548,152,7,4000-4300 Anacostia Ave,10,FY-09,404935.49,137653.1
-77.03273704436134,38.931876116812269,153,1,Newton st Nw 1400 blk                                   (2)  12Ft,2,FY-07,397161.73001132,140443.45999976
-77.028496220274477,38.935274131249813,154,1,3600 Blk 11th ST NW,2,FY-07,397529.54876366,140820.54576011
-77.02735052567796,38.93372777049381,155,1,3500 Blk 10th ST NW,1,FY-07,397628.83013975,140648.85590395
-77.020252100899455,38.936470042749875,156,1,600 Blk Quebec PL NW,1,FY-07,398244.35116432,140953.11152024
-77.024162502006334,38.92503315881789,157,1,700 Blk Faimont ST NW,1,FY-07,397904.98534001,139683.60134306
-77.024162502006334,38.92503315881789,158,2,Wallach Pl NW 1300 blk                    (2) 12Ft,2,FY-07,397904.98534001,139683.60134306
-77.074607246377141,38.942223461804829,159,3,"Upton St & 38th st NW ( 2 cross walks , (2) 12Ft)",2,FY-07,393532.31000795,141594.24000083
-77.090609857538723,38.95470997453306,160,3,46th bet Fessenden st NW  (3) 12 ft,3,FY-07,392146.37999067,142981.61001812
-77.024241788775115,38.972179038090026,161,4,Aspen st NW 700 & 800 blk             (2)  12Ft,2,FY-07,397899.5,144917.22
-77.01066020369781,38.952369300992785,162,4,Farragut Pl NW unit blk    (2) 12Ft,2,FY-07,399076.1700131,142717.93001787
-77.026601297152851,38.952935990810296,163,4,900 Blk Hamilton ST NW   (2),2,FY-07,397694.41177181,142781.11974593
-77.023191966419077,38.938727592889492,164,4,4000 Blk 8th ST Bet Taylor ST & Randolph ST,1,FY-07,397989.53001209,141203.78000047
-76.995582689436134,38.940015815127744,165,5,7th st NE bet Taylor & Randulph st         (2)  12Ft,2,FY-07,400383.15775831,141346.5378246
-76.985246213513733,38.921857689137966,166,5,2400 Blk 14th ST Bet Downing & Saratoga AV NE (2),2,FY-07,401279.60617514,139330.92332673
-77.008109820464995,38.914085650701338,167,5,Lincoln Rd & T ST NE (2),2,FY-07,399296.8599973,138468.09001393
-76.971102381702835,38.89626113603093,168,6,Oklahoma ave Ne 500 blk                   (3) 12Ft,3,FY-07,402507.02,136489.79
-76.983022540363365,38.898461337200125,169,6,1500 Blk Gayles ST NE  (1)   22ft,1,FY-07,401472.92,136733.77
-76.961481271403528,38.865639919221728,170,7,32nd st SE bet. Alabama & Park Dr SE       (3) 12Ft,3,FY-07,403343.07001706,133090.91000894
-76.957255266221253,38.861531871235528,171,7,34th st SE 2300 Blk         (2) 12Ft,2,FY-07,403710.04,132635.05
-76.957340481272908,38.860647635697994,172,7,Bangor st SE 3400 blk           (1) 22Ft,1,FY-07,403702.69,132536.89
-76.936431482613841,38.883381017786071,173,7,E st SE bet. Benning rd & Falls Ter   (2)  22Ft,2,FY-07,405515.66000307,135061.51999477
-76.934293690167067,38.8954402532584,174,7,48th pl NE 500 blk   (4)  12Ft,4,FY-07,405700.18,136400.32
-76.931473143737648,38.901688186086375,175,7,Jay st NE 4900 blk                                    (2)  12Ft,2,FY-07,405944.34,137094.07
-76.924202569864178,38.883052933222416,176,7,54th St between C&D st   NE         (2) 22Ft,2,FY-07,406576.72000406,135025.91001074
-76.918838745241032,38.891049134949412,177,7,57th Pl NE 200 blk         (3)  12Ft,3,FY-07,407041.32,135913.95
-76.955132091618111,38.862884886012125,178,7,3600 Blk Suitland Rd SE (3),3,FY-07,403894.23779357,132785.33288866
-76.952909533715442,38.862375282289101,179,7,3700 Blk Suitland Rd SE (2),2,FY-07,404087.16051375,132728.8603126
-76.930970460873695,38.879549573618966,180,7,5000 Blk Hanna PL SE (2),2,FY-07,405989.80189151,134636.54469837
-76.944216183066914,38.899567641103573,181,7,4100 & 4200 Blk Hayes ST NE (6),6,FY-07,404839.13,136857.92
-76.957255266221253,38.861531871235528,182,8,34th st SE 2300 blk        (5)  12Ft,5,FY-07,403710.04,132635.05
-76.985279211511212,38.851162589110793,183,8,12th Pl SE 2600 blk  (1)  22Ft,1,FY-07,401278.01001514,131483.22002345
-76.99657203562866,38.830963577559309,184,8,600 blk Atlantic st ( 3) 12ft,3,FY-07,400297.84047823,129240.89330137
-77.001450563149831,38.84867853040145,185,8,400 blk-600blk Lebuam st. SE (6) 12ft,6,FY-07,399874.28,131207.37
-76.997893096497819,38.847010381892105,186,8,500 blk Labaum st se (3) 12ft,3,FY-07,400183.09462212,131022.19496702
-76.999168518217758,38.824657576242437,187,8,600 blk  Galveston PL se(2) 12ft,2,FY-07,400072.4,128540.88
-76.981508212020586,38.871689011597802,188,8,1600 blk Fairlawn Av,1,FY-07,401604.88345544,133761.86127356
-76.970679697580636,38.847655913165362,189,8,3400 Blk 23rd ST SE   (3)  12 ft ,3,FY-07,402545.42,131094.26
-76.974249992809092,38.873023311777374,190,8,2200 Blk Prout ST SE (2),2,FY-07,402234.69737603,133910.1311297
-76.982014621688222,38.869314823707413,191,8,1600 & 1700 Blk 16th ST SE (3),3,FY-07,401560.99,133498.3
-76.99322470314867,38.833027712308478,192,8,800 Blk Xenia St SE (3),3,FY-07,400588.4649905,129470.04235758
-76.994784879884023,38.839459524854711,193,8,700 Blk Upsal ST SE (3),3,FY-07,400452.96143837,130184.00837424
-76.995045147491552,38.838656496741152,194,8,700 Blk Mississippi AV SE (2),2,FY-07,400430.37052635,130094.86549416
-76.983672228977667,38.85624220558433,195,8,2300 Blk Elvans Rd SE (2),2,FY-07,401417.40041527,132047.11723997
-77.027420103474668,38.935001295234144,196,1,3614  10th ST NW (1),1,FY-08,397622.84,140790.23
-77.035432515996831,38.936078605594176,197,1,Hertford PL NW Bet Oak ST & Ogden ST NW (1),1,FY-08,396928.1999951,140910.0600002
-77.017964349440604,38.90543266663223,198,2,440 M ST NW       (12) ,1,FY-08,398442.02,137507.66
-77.105676065535221,38.932790505639531,199,3,5100 Blk Macomb ST NW (1),1,FY-08,390837.66542945,140549.75958386
-77.031564658941335,38.951881301625114,200,4,1300 Blk Gallatin ST NW,1,FY-08,397264.14969141,142664.17673782
-77.020292155858712,38.948451543928357,201,4,500 Blk Decatur St NW (1),1,FY-08,398241.17414032,142283.16515347
-77.017102419153929,38.960172035873704,202,4,5800 3rd Pl NW  (22),1,FY-08,398517.91999658,143584.19001868
-77.025788605257418,38.952124349683857,203,4,5100 9th Street NW,1,FY-08,397764.83,142691
-77.024973711434797,38.944374523523095,204,4,4400 9th St. NW,1,FY-08,397835.23,141830.68
-77.033150210954361,38.948089938908822,205,4,1400 Decatur St. NW,1,FY-08,397126.56,142243.35
-76.983743952468984,38.901166356069545,206,5,1400 Blk Morse NE (22ft),1,FY-08,401410.28710326,137034.0373086
-77.007464750733163,38.948230816404802,207,5,Unit Blk Crittenden St NE,1,FY-08,399353.11481335,142258.49328145
-77.007367333065233,38.947444690259687,208,5,Unit Blk Buchanan St NE,1,FY-08,399361.55244536,142171.22553737
-76.983743952468984,38.901166356069545,209,5,1400 Blk Morse St. NE,1,FY-08,401410.28710326,137034.0373086
-76.983370459166807,38.920524299130385,210,5,2300 Blk 14th Street NE,1,FY-08,401442.29343929,139182.93372659
-77.005093080857478,38.917002629945344,211,5,"U Street NE betw, 1st St. & Summit Place NE ",1,FY-08,399558.51001354,138791.87999823
-77.01312359659498,38.913351812190676,212,5,100 Blk Randolph Place  between 1st & 2nd NW,1,FY-08,398862.0199329,138386.67846185
-77.02332952424031,38.967294816671384,213,5,700 Blk Tuckerman ST (Rapir 1 speed Hump),1,FY-08,397978.41468408,144375.00461141
-77.005093080857478,38.917002629945344,214,5,U Street NE Btw 2nd St. & Summit Pl NE,1,FY-08,399558.51001354,138791.87999823
-77.001308023797577,38.919181909675558,215,5,300 Blk W Street NE,1,FY-08,399886.76559785,139033.78675045
-77.007646569256138,38.911860623296434,216,5,Unit Blk Quincy Pl NE,1,FY-08,399337.01554934,138221.0901417
-76.985037237138002,38.892067670022755,217,6,1400 Blk Constitution Ave NE  (12),1,FY-08,401298.27001516,136023.99189966
-76.985311362799081,38.883032552755544,218,6,1400 E St. SE,1,FY-08,401274.65,135021.02
-76.972142480374472,38.860276597106008,219,7,2400 Blk Wagner ST SE (1) 22FT,1,FY-08,402418.0120002,132495.20588039
-76.914356076577519,38.892899302674358,220,7,6000 Blk Clay Street NE,1,FY-08,407430.01987685,136119.68828375
-76.932689519034568,38.896218628107306,221,7,4900 Blk Fitch Pl NE,1,FY-08,405839.27715537,136486.82710009
-76.916410399525702,38.893694608745044,222,7,300 Blk 59th Street NE,1,FY-08,407251.72147668,136207.80828383
-77.001058469605951,38.836138323688218,223,8,3800 Blk 4th St SE (1) 22Ft,1,FY-08,399908.29999787,129815.3200219
-76.998465245142256,38.846344311640692,224,8,600 Blk Melon St SE ,1,FY-08,400133.42860608,130948.25547895
-77.028706466282046,38.934694884225792,225,1,3600 Blk 11th st NW (2),2,FY-08,397511.3,140756.25
-77.021576024580796,38.927031157532419,226,1,500-600 Blk Gresham Place NW,2,FY-08,398129.32,139905.34
-77.053737290476505,38.92587628734708,227,3,2600 & 2700 Blk Woodley Rd NW,2,FY-08,395340.51,139778.29
-77.088644037013239,38.934561018414321,228,3,45th St. NW  (22),2,FY-08,392314.59999082,140744.73001604
-77.088644037013239,38.934561018414321,229,3,45th St. NW  (22),2,FY-08,392314.59999082,140744.73001604
-77.017102565258412,38.958376959883864,230,4,5700 Blk 3rd Pl. NW (2),2,FY-08,398517.87001258,143384.92000249
-77.017150522547439,38.947666208683437,231,4,4700 4th Street NW,2,FY-08,398513.49,142195.93
-77.018038733288193,38.966142385135562,232,4,400 Sheridan St. NW,2,FY-08,398436.8999965,144246.97001929
-76.963549188134877,38.874615394711078,233,7,3000 block N Street  SE,2,FY-09,403163.20672089,134087.18056986
-76.99243849516894,38.928512881069594,234,7,2900 & 3000 10th St NE bet. Girard and Irving street,2,FY-09,400655.85001456,140069.63001542
-76.945826369957061,38.885671602466218,235,7,"300 block of Burns Street, NE",2,FY-09,404700.37072232,135315.266811
-76.924876427406303,38.885237700687078,236,7,5300 blk. Of Bass Place  SE,2,FY-09,406518.05354,135268.38754696
-76.966751546848442,38.87011831264337,237,7,1600 blk. Of  28th Place SE,2,FY-09,402885.50480063,133587.8648894
